Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Motor1_StatusWord,Default tag table,Word,%IW256,Motor 1 Status Word (ZSW1) from G120C,True,True,False,,
Motor1_ActualSpeed,Default tag table,Int,%IW258,Motor 1 Actual Speed (NIST_A) from G120C,True,True,False,,
Motor1_ControlWord,Default tag table,Word,%QW256,Motor 1 Control Word (STW1) to G120C,True,True,True,,
Motor1_SpeedSetpoint,Default tag table,Int,%QW258,Motor 1 Speed Setpoint (NSOLL_A) to G120C,True,True,True,,
Motor2_StatusWord,Default tag table,Word,%IW260,Motor 2 Status Word (ZSW1) from G120C,True,True,False,,
Motor2_ActualSpeed,Default tag table,Int,%IW262,Motor 2 Actual Speed (NIST_A) from G120C,True,True,False,,
Motor2_ControlWord,Default tag table,Word,%QW260,Motor 2 Control Word (STW1) to G120C,True,True,True,,
Motor2_SpeedSetpoint,Default tag table,Int,%QW262,Motor 2 Speed Setpoint (NSOLL_A) to G120C,True,True,True,,
Motor3_StatusWord,Default tag table,Word,%IW264,Motor 3 Status Word (ZSW1) from G120C,True,True,False,,
Motor3_ActualSpeed,Default tag table,Int,%IW266,Motor 3 Actual Speed (NIST_A) from G120C,True,True,False,,
Motor3_ControlWord,Default tag table,Word,%QW264,Motor 3 Control Word (STW1) to G120C,True,True,True,,
Motor3_SpeedSetpoint,Default tag table,Int,%QW266,Motor 3 Speed Setpoint (NSOLL_A) to G120C,True,True,True,,
Motor4_StatusWord,Default tag table,Word,%IW268,Motor 4 Status Word (ZSW1) from G120C,True,True,False,,
Motor4_ActualSpeed,Default tag table,Int,%IW270,Motor 4 Actual Speed (NIST_A) from G120C,True,True,False,,
Motor4_ControlWord,Default tag table,Word,%QW268,Motor 4 Control Word (STW1) to G120C,True,True,True,,
Motor4_SpeedSetpoint,Default tag table,Int,%QW270,Motor 4 Speed Setpoint (NSOLL_A) to G120C,True,True,True,,
Motor5_StatusWord,Default tag table,Word,%IW272,Motor 5 Status Word (ZSW1) from G120C,True,True,False,,
Motor5_ActualSpeed,Default tag table,Int,%IW274,Motor 5 Actual Speed (NIST_A) from G120C,True,True,False,,
Motor5_ControlWord,Default tag table,Word,%QW272,Motor 5 Control Word (STW1) to G120C,True,True,True,,
Motor5_SpeedSetpoint,Default tag table,Int,%QW274,Motor 5 Speed Setpoint (NSOLL_A) to G120C,True,True,True,,
Motor6_StatusWord,Default tag table,Word,%IW276,Motor 6 Status Word (ZSW1) from G120C,True,True,False,,
Motor6_ActualSpeed,Default tag table,Int,%IW278,Motor 6 Actual Speed (NIST_A) from G120C,True,True,False,,
Motor6_ControlWord,Default tag table,Word,%QW276,Motor 6 Control Word (STW1) to G120C,True,True,True,,
Motor6_SpeedSetpoint,Default tag table,Int,%QW278,Motor 6 Speed Setpoint (NSOLL_A) to G120C,True,True,True,,
SystemReset,Default tag table,Bool,%I0.0,System Reset Button,True,True,False,,
EmergencyStop,Default tag table,Bool,%I0.1,Emergency Stop Input,True,True,False,,
SystemReady,Default tag table,Bool,%Q0.0,System Ready Output,True,True,False,,
SystemError,Default tag table,Bool,%Q0.1,System Error Output,True,True,False,,
SystemHeartbeat,Default tag table,Bool,%Q0.2,System Heartbeat Output,True,True,False,,
