Variable_Name,Data_Type,Access_Level,Local_Data_Address,Description
MOTOR_1_RPM_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_1_RPM_EXECUTION,Motor 1 Current RPM
MOTOR_1_CURRENT_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_1_CURRENT_EXECUTION,Motor 1 Current (A)
MOTOR_1_TARGET_EXECUTION,REAL,RW,DB_HGU_Execution.MOTOR_1_TARGET_EXECUTION,Motor 1 Target RPM
MOTOR_1_FLOW_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_1_FLOW_EXECUTION,Motor 1 Flow Rate (L/min)
MOTOR_1_PRESSURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_1_PRESSURE_EXECUTION,Motor 1 Pressure (bar)
MOTOR_1_LEAK_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_1_LEAK_EXECUTION,Motor 1 Leak Rate (L/min)
MOTOR_1_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_1_TEMPERATURE_EXECUTION,Motor 1 Temperature (°C)
MOTOR_1_ENABLE_EXECUTION,BOOL,RW,DB_HGU_Execution.MOTOR_1_ENABLE_EXECUTION,Motor 1 Enable/Disable
MOTOR_1_STATUS_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_1_STATUS_EXECUTION,Motor 1 Status (0=Off 1=Ready 2=Run 3=Error)
MOTOR_1_VALVE_EXECUTION,USINT,RW,DB_HGU_Execution.MOTOR_1_VALVE_EXECUTION,Motor 1 Valve (0=Closed 1=Open)
MOTOR_1_LINE_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_1_LINE_FILTER_EXECUTION,Motor 1 Line Filter (0=Error 1=Warn 2=OK)
MOTOR_1_SUCTION_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_1_SUCTION_FILTER_EXECUTION,Motor 1 Suction Filter (0=Error 1=OK)
MOTOR_2_RPM_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_2_RPM_EXECUTION,Motor 2 Current RPM
MOTOR_2_CURRENT_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_2_CURRENT_EXECUTION,Motor 2 Current (A)
MOTOR_2_TARGET_EXECUTION,REAL,RW,DB_HGU_Execution.MOTOR_2_TARGET_EXECUTION,Motor 2 Target RPM
MOTOR_2_FLOW_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_2_FLOW_EXECUTION,Motor 2 Flow Rate (L/min)
MOTOR_2_PRESSURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_2_PRESSURE_EXECUTION,Motor 2 Pressure (bar)
MOTOR_2_LEAK_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_2_LEAK_EXECUTION,Motor 2 Leak Rate (L/min)
MOTOR_2_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_2_TEMPERATURE_EXECUTION,Motor 2 Temperature (°C)
MOTOR_2_ENABLE_EXECUTION,BOOL,RW,DB_HGU_Execution.MOTOR_2_ENABLE_EXECUTION,Motor 2 Enable/Disable
MOTOR_2_STATUS_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_2_STATUS_EXECUTION,Motor 2 Status (0=Off 1=Ready 2=Run 3=Error)
